test/stochastic/0/hammer-v1/success,test/stochastic/1/push-wall-v1/success,test/stochastic/2/faucet-close-v1/success,test/stochastic/3/push-back-v1/success,test/stochastic/4/stick-pull-v1/success,test/stochastic/5/handle-press-side-v1/success,test/stochastic/6/push-v1/success,test/stochastic/7/shelf-place-v1/success,test/stochastic/8/window-close-v1/success,test/stochastic/9/peg-unplug-side-v1/success,epoch,directory,method,seed,test/stochastic/average_success
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_0,None_fifo,0,0.1
0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_0,None_fifo,0,0.04
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_0,None_fifo,0,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_0,None_fifo,0,0.1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,250,cl_0,None_fifo,0,0.1
0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,300,cl_0,None_fifo,0,0.09
0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,350,cl_0,None_fifo,0,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,400,cl_0,None_fifo,0,0.0699999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,450,cl_0,None_fifo,0,0.0699999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500,cl_0,None_fifo,0,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_1,None_fifo,1,0.1
0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_1,None_fifo,1,0.08
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_1,None_fifo,1,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_1,None_fifo,1,0.1
0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,250,cl_1,None_fifo,1,0.08
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,300,cl_1,None_fifo,1,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,350,cl_1,None_fifo,1,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,400,cl_1,None_fifo,1,0.0699999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,450,cl_1,None_fifo,1,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500,cl_1,None_fifo,1,0.1
