directory,method,seed
cl_0,None_fifo,0
cl_1,None_fifo,1
cl_10,None_fifo,10
cl_100,packnet,0
cl_101,packnet,1
cl_103,packnet,3
cl_104,packnet,4
cl_105,packnet,5
cl_106,packnet,6
cl_107,packnet,7
cl_108,packnet,8
cl_109,packnet,9
cl_11,None_fifo,11
cl_110,packnet,10
cl_111,packnet,11
cl_112,packnet,12
cl_113,packnet,13
cl_114,packnet,14
cl_115,packnet,15
cl_116,packnet,16
cl_117,packnet,17
cl_118,packnet,18
cl_119,packnet,19
cl_12,None_fifo,12
cl_120,None_reservoir,0
cl_121,None_reservoir,1
cl_122,None_reservoir,2
cl_123,None_reservoir,3
cl_124,None_reservoir,4
cl_125,None_reservoir,5
cl_126,None_reservoir,6
cl_127,None_reservoir,7
cl_128,None_reservoir,8
cl_129,None_reservoir,9
cl_13,None_fifo,13
cl_130,None_reservoir,10
cl_132,None_reservoir,12
cl_133,None_reservoir,13
cl_134,None_reservoir,14
cl_135,None_reservoir,15
cl_136,None_reservoir,16
cl_137,None_reservoir,17
cl_138,None_reservoir,18
cl_139,None_reservoir,19
cl_14,None_fifo,14
cl_140,agem,0
cl_141,agem,1
cl_142,agem,2
cl_143,agem,3
cl_144,agem,4
cl_145,agem,5
cl_146,agem,6
cl_147,agem,7
cl_148,agem,8
cl_149,agem,9
cl_15,None_fifo,15
cl_150,agem,10
cl_151,agem,11
cl_152,agem,12
cl_153,agem,13
cl_154,agem,14
cl_155,agem,15
cl_156,agem,16
cl_157,agem,17
cl_158,agem,18
cl_159,agem,19
cl_16,None_fifo,16
cl_17,None_fifo,17
cl_18,None_fifo,18
cl_19,None_fifo,19
cl_2,None_fifo,2
cl_20,l2,0
cl_21,l2,1
cl_22,l2,2
cl_23,l2,3
cl_24,l2,4
cl_25,l2,5
cl_26,l2,6
cl_27,l2,7
cl_28,l2,8
cl_29,l2,9
cl_3,None_fifo,3
cl_30,l2,10
cl_31,l2,11
cl_32,l2,12
cl_33,l2,13
cl_34,l2,14
cl_35,l2,15
cl_36,l2,16
cl_37,l2,17
cl_38,l2,18
cl_39,l2,19
cl_4,None_fifo,4
cl_40,ewc,0
cl_41,ewc,1
cl_42,ewc,2
cl_43,ewc,3
cl_44,ewc,4
cl_45,ewc,5
cl_46,ewc,6
cl_47,ewc,7
cl_48,ewc,8
cl_49,ewc,9
cl_5,None_fifo,5
cl_50,ewc,10
cl_51,ewc,11
cl_52,ewc,12
cl_53,ewc,13
cl_54,ewc,14
cl_55,ewc,15
cl_56,ewc,16
cl_57,ewc,17
cl_58,ewc,18
cl_59,ewc,19
cl_6,None_fifo,6
cl_60,mas,0
cl_61,mas,1
cl_62,mas,2
cl_63,mas,3
cl_64,mas,4
cl_65,mas,5
cl_66,mas,6
cl_67,mas,7
cl_68,mas,8
cl_69,mas,9
cl_7,None_fifo,7
cl_70,mas,10
cl_71,mas,11
cl_72,mas,12
cl_73,mas,13
cl_74,mas,14
cl_75,mas,15
cl_76,mas,16
cl_77,mas,17
cl_78,mas,18
cl_79,mas,19
cl_8,None_fifo,8
cl_80,vcl,0
cl_81,vcl,1
cl_82,vcl,2
cl_83,vcl,3
cl_84,vcl,4
cl_85,vcl,5
cl_86,vcl,6
cl_87,vcl,7
cl_88,vcl,8
cl_89,vcl,9
cl_9,None_fifo,9
cl_90,vcl,10
cl_91,vcl,11
cl_92,vcl,12
cl_93,vcl,13
cl_94,vcl,14
cl_95,vcl,15
cl_96,vcl,16
cl_97,vcl,17
cl_98,vcl,18
cl_99,vcl,19
